epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1252.71,1.07974,2.17392,1.58965,0.94751,0.95107,0.971,0.67539,1.1068,0.62496,1.81359,0.00333291,0.00333291,0.00333291
2,2438.84,0.90584,1.44259,1.43348,0.96427,0.96412,0.97841,0.755,0.90517,0.4658,1.52874,0.00660024,0.00660024,0.00660024
3,3620.54,0.89735,1.36806,1.41851,0.95415,0.96216,0.97586,0.79379,0.76244,0.44013,1.361,0.00980158,0.00980158,0.00980158
4,4748.15,0.85702,1.28798,1.38774,0.96588,0.97048,0.98275,0.82763,0.67692,0.37518,1.25476,0.009703,0.009703,0.009703
5,5842.58,0.79614,1.17739,1.34409,0.96352,0.97217,0.98314,0.84199,0.63991,0.35627,1.20065,0.009604,0.009604,0.009604
6,6937.09,0.76008,1.10698,1.31899,0.96895,0.97292,0.98383,0.83486,0.67429,0.34873,1.23565,0.009505,0.009505,0.009505
7,8045.01,0.73612,1.06366,1.3007,0.96874,0.97259,0.98593,0.86711,0.58103,0.32346,1.134,0.009406,0.009406,0.009406
8,9154.66,0.71781,1.03408,1.28847,0.97243,0.97473,0.98638,0.84807,0.64477,0.33303,1.19065,0.009307,0.009307,0.009307
9,10257.6,0.70303,1.0053,1.27785,0.97358,0.97431,0.98685,0.85407,0.62926,0.32248,1.17397,0.009208,0.009208,0.009208
10,11353.2,0.6911,0.98717,1.26919,0.97185,0.97569,0.98677,0.86024,0.6081,0.31676,1.14877,0.009109,0.009109,0.009109
11,12449.5,0.67992,0.96572,1.26262,0.96938,0.97696,0.98717,0.86542,0.59316,0.31265,1.13211,0.00901,0.00901,0.00901
12,13544.8,0.67255,0.95073,1.25586,0.96996,0.97737,0.98741,0.87406,0.56596,0.30433,1.10224,0.008911,0.008911,0.008911
13,14620.7,0.66379,0.93505,1.24954,0.96925,0.9779,0.98747,0.87756,0.55576,0.30009,1.08974,0.008812,0.008812,0.008812
14,15697.4,0.65486,0.92164,1.24305,0.97068,0.9772,0.98745,0.88145,0.54308,0.29658,1.07542,0.008713,0.008713,0.008713
15,16773.3,0.65366,0.91188,1.24403,0.97184,0.97636,0.9876,0.88327,0.53696,0.29375,1.0686,0.008614,0.008614,0.008614
16,17850.8,0.64843,0.90538,1.23867,0.97313,0.97478,0.98772,0.88398,0.53555,0.29283,1.06622,0.008515,0.008515,0.008515
17,18926.6,0.64214,0.89099,1.23417,0.97192,0.97519,0.98783,0.88507,0.53369,0.29138,1.06411,0.008416,0.008416,0.008416
18,20002.6,0.63586,0.88538,1.23017,0.9702,0.97603,0.98782,0.88501,0.5337,0.29071,1.06323,0.008317,0.008317,0.008317
19,21078.4,0.63185,0.88011,1.22699,0.97003,0.97649,0.98783,0.88631,0.53048,0.28944,1.05921,0.008218,0.008218,0.008218
20,22154.7,0.62806,0.86873,1.22419,0.96924,0.97658,0.98792,0.88791,0.52574,0.28804,1.05413,0.008119,0.008119,0.008119
21,23230.9,0.62535,0.86379,1.22173,0.96961,0.97725,0.98791,0.88778,0.52623,0.28778,1.05364,0.00802,0.00802,0.00802
22,24307.3,0.62438,0.86235,1.22093,0.96927,0.97724,0.98798,0.88871,0.52391,0.28743,1.04972,0.007921,0.007921,0.007921
23,25382.7,0.61571,0.85227,1.21535,0.96993,0.97726,0.98803,0.89013,0.52035,0.28669,1.04516,0.007822,0.007822,0.007822
24,26459.1,0.6128,0.8448,1.21221,0.97036,0.97713,0.98813,0.89261,0.51184,0.28468,1.03594,0.007723,0.007723,0.007723
25,27535.2,0.61037,0.83811,1.2112,0.97107,0.97647,0.98822,0.89339,0.50957,0.28396,1.03267,0.007624,0.007624,0.007624
26,28611.2,0.60942,0.83579,1.20999,0.97215,0.97589,0.98822,0.89431,0.50797,0.28323,1.03044,0.007525,0.007525,0.007525
27,29687.8,0.6073,0.83117,1.20851,0.97384,0.97419,0.98828,0.89614,0.50217,0.28128,1.02405,0.007426,0.007426,0.007426
28,30763.4,0.60407,0.8238,1.20611,0.97316,0.97476,0.98843,0.89734,0.49946,0.28015,1.0212,0.007327,0.007327,0.007327
29,31839.8,0.60098,0.82114,1.20401,0.9724,0.97624,0.98853,0.89837,0.49712,0.27923,1.01874,0.007228,0.007228,0.007228
30,32916.4,0.59903,0.81449,1.20304,0.97225,0.97713,0.98854,0.89866,0.49511,0.27892,1.0158,0.007129,0.007129,0.007129
31,33992.1,0.59323,0.81068,1.19843,0.97225,0.97746,0.98849,0.89892,0.4958,0.27946,1.01517,0.00703,0.00703,0.00703
32,35069.1,0.59196,0.81046,1.19733,0.97263,0.97756,0.9885,0.89944,0.49471,0.27948,1.01272,0.006931,0.006931,0.006931
33,36145.4,0.58817,0.80153,1.19466,0.97207,0.97778,0.98866,0.89981,0.49243,0.27898,1.00954,0.006832,0.006832,0.006832
34,37221.7,0.59028,0.80574,1.19789,0.97114,0.97801,0.98858,0.90066,0.48928,0.27793,1.00532,0.006733,0.006733,0.006733
35,38298.5,0.58776,0.79723,1.19459,0.97108,0.97753,0.98849,0.90204,0.4831,0.27623,0.99876,0.006634,0.006634,0.006634
36,39374.9,0.58295,0.79587,1.19166,0.97158,0.97692,0.98856,0.90305,0.4805,0.27558,0.9956,0.006535,0.006535,0.006535
37,40451.1,0.58155,0.79061,1.19147,0.97058,0.97909,0.9887,0.90389,0.47933,0.27506,0.99374,0.006436,0.006436,0.006436
38,41526.9,0.57847,0.78891,1.18788,0.97112,0.97834,0.98878,0.9037,0.48034,0.27506,0.99364,0.006337,0.006337,0.006337
39,42603.4,0.57987,0.78513,1.18942,0.97198,0.97811,0.98895,0.90386,0.48044,0.27444,0.99374,0.006238,0.006238,0.006238
40,43714.5,0.57605,0.78109,1.18681,0.97241,0.97801,0.98898,0.90351,0.48236,0.27434,0.9949,0.006139,0.006139,0.006139
41,44813.8,0.5752,0.78172,1.18652,0.9717,0.97861,0.98904,0.90422,0.47949,0.27367,0.99076,0.00604,0.00604,0.00604
42,45911.1,0.57069,0.77505,1.18316,0.97175,0.97919,0.98903,0.90427,0.48037,0.27371,0.99069,0.005941,0.005941,0.005941
43,47007.8,0.57093,0.77686,1.1836,0.97242,0.97884,0.98908,0.90472,0.47958,0.27339,0.98918,0.005842,0.005842,0.005842
44,48104.3,0.56883,0.77256,1.18324,0.97169,0.97907,0.98907,0.90452,0.47917,0.27289,0.98813,0.005743,0.005743,0.005743
45,49199.8,0.56603,0.76322,1.18048,0.97182,0.97872,0.98909,0.90444,0.47802,0.27246,0.9864,0.005644,0.005644,0.005644
46,50295.2,0.56534,0.76564,1.17956,0.97207,0.97917,0.98916,0.90578,0.47396,0.27127,0.98246,0.005545,0.005545,0.005545
47,51391.8,0.56005,0.75914,1.17689,0.97096,0.98062,0.98933,0.90713,0.47017,0.2702,0.9784,0.005446,0.005446,0.005446
48,52488.5,0.56028,0.75844,1.17626,0.9717,0.97964,0.98929,0.90743,0.46901,0.26997,0.97708,0.005347,0.005347,0.005347
49,53585.3,0.55647,0.75483,1.17361,0.97263,0.97923,0.98934,0.90824,0.46719,0.26938,0.97507,0.005248,0.005248,0.005248
50,54681.4,0.55411,0.747,1.17193,0.97243,0.97963,0.98934,0.90897,0.46468,0.26914,0.97201,0.005149,0.005149,0.005149
51,55777.7,0.55279,0.74753,1.17104,0.97213,0.97987,0.98937,0.91039,0.45977,0.26805,0.96781,0.00505,0.00505,0.00505
52,56872.5,0.5508,0.74128,1.17012,0.972,0.98015,0.98946,0.91258,0.45301,0.26633,0.96085,0.004951,0.004951,0.004951
53,57968.9,0.54954,0.73944,1.1678,0.97203,0.98047,0.98942,0.91301,0.45103,0.26604,0.95884,0.004852,0.004852,0.004852
54,59064.7,0.548,0.73476,1.16724,0.97254,0.98044,0.98943,0.91334,0.44884,0.26524,0.95663,0.004753,0.004753,0.004753
55,60160.6,0.54527,0.73483,1.16624,0.97157,0.98132,0.98927,0.9139,0.44605,0.26427,0.95345,0.004654,0.004654,0.004654
56,61256.5,0.54178,0.7288,1.16443,0.97215,0.98067,0.98928,0.91445,0.44455,0.26384,0.95192,0.004555,0.004555,0.004555
57,62352.6,0.54168,0.72976,1.1649,0.97134,0.98013,0.98937,0.91378,0.4456,0.26384,0.95252,0.004456,0.004456,0.004456
58,63449,0.54242,0.73105,1.16629,0.97183,0.98077,0.98946,0.91368,0.44541,0.26343,0.95195,0.004357,0.004357,0.004357
59,64546.7,0.53977,0.72408,1.16345,0.9727,0.97989,0.98947,0.91404,0.44534,0.26323,0.95114,0.004258,0.004258,0.004258
60,65799.9,0.53548,0.7185,1.16018,0.97315,0.98112,0.98968,0.91413,0.44574,0.26349,0.95055,0.004159,0.004159,0.004159
61,67051,0.53355,0.7086,1.15797,0.9731,0.98116,0.98972,0.9145,0.44464,0.26329,0.94902,0.00406,0.00406,0.00406
62,68205.6,0.53328,0.71374,1.15797,0.97282,0.98145,0.98972,0.91442,0.44362,0.26281,0.94714,0.003961,0.003961,0.003961
63,69306.5,0.52916,0.70862,1.1545,0.97248,0.98122,0.98972,0.91558,0.43946,0.26147,0.94264,0.003862,0.003862,0.003862
64,70403.4,0.52905,0.70985,1.15527,0.97239,0.98102,0.98952,0.91552,0.43779,0.26122,0.94079,0.003763,0.003763,0.003763
65,71499.5,0.52509,0.70644,1.15318,0.97269,0.98026,0.98948,0.91638,0.43575,0.26119,0.938,0.003664,0.003664,0.003664
66,72595,0.52228,0.69704,1.15095,0.97271,0.98126,0.98945,0.91719,0.43257,0.26056,0.93473,0.003565,0.003565,0.003565
67,73690.2,0.52038,0.69751,1.14873,0.97278,0.981,0.98944,0.91777,0.42979,0.25969,0.93111,0.003466,0.003466,0.003466
68,74785.3,0.52101,0.69365,1.14994,0.97278,0.9805,0.98944,0.91817,0.42964,0.25948,0.93008,0.003367,0.003367,0.003367
69,75943.4,0.51472,0.69222,1.146,0.97263,0.98093,0.98949,0.91868,0.42859,0.25904,0.92884,0.003268,0.003268,0.003268
70,77120.6,0.51541,0.68604,1.14697,0.97243,0.98069,0.98951,0.91901,0.42733,0.25868,0.92698,0.003169,0.003169,0.003169
71,78372.1,0.5127,0.68155,1.14388,0.97342,0.97976,0.98954,0.92011,0.42402,0.25778,0.92336,0.00307,0.00307,0.00307
72,79573.7,0.51159,0.68261,1.1438,0.97302,0.98018,0.98956,0.92138,0.42197,0.25679,0.92068,0.002971,0.002971,0.002971
73,80817.3,0.51032,0.68128,1.14317,0.97267,0.98045,0.98956,0.9215,0.42208,0.25683,0.91973,0.002872,0.002872,0.002872
74,1098.72,0.49761,0.66307,1.13597,0.972,0.98093,0.98956,0.92222,0.42009,0.25642,0.9175,0.002773,0.002773,0.002773
75,2205.18,0.49843,0.66453,1.13445,0.9726,0.98037,0.98954,0.92195,0.42052,0.25681,0.91698,0.002674,0.002674,0.002674
76,3472.83,0.4986,0.66465,1.13582,0.97317,0.9802,0.98952,0.92272,0.4175,0.2559,0.91339,0.002575,0.002575,0.002575
77,4711.28,0.4975,0.66437,1.135,0.97367,0.98014,0.98955,0.92298,0.41701,0.25629,0.91176,0.002476,0.002476,0.002476
78,5896.88,0.49355,0.6591,1.13216,0.97367,0.97982,0.98956,0.92309,0.41641,0.25647,0.91041,0.002377,0.002377,0.002377
79,7118.1,0.49246,0.65306,1.13223,0.97399,0.97909,0.98953,0.92352,0.41522,0.25613,0.909,0.002278,0.002278,0.002278
