epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.282,1.45004,2.79928,1.72323,0.86479,0.88109,0.92083,0.43838,1.74042,0.97735,2.04019,0.00333,0.00333,0.00333
2,347.61,1.38886,1.77979,1.63213,0.82565,0.88181,0.91477,0.46778,1.65299,0.96777,2.03503,0.00659737,0.00659737,0.00659737
3,519.13,1.42252,1.69561,1.64892,0.87511,0.85132,0.92891,0.46741,1.63189,0.91221,1.98101,0.00979873,0.00979873,0.00979873
4,698.814,1.42601,1.59634,1.63746,0.88547,0.91655,0.92125,0.49096,1.56069,0.76827,1.99004,0.009703,0.009703,0.009703
5,870.96,1.3817,1.46717,1.5993,0.89358,0.93353,0.94822,0.50017,1.59839,0.76655,1.9338,0.009604,0.009604,0.009604
6,1038.11,1.34757,1.39225,1.56557,0.89013,0.94732,0.93669,0.49318,1.57914,0.71645,1.91248,0.009505,0.009505,0.009505
7,1204.86,1.32438,1.36178,1.55827,0.89855,0.9436,0.95008,0.51629,1.50714,0.71415,1.86251,0.009406,0.009406,0.009406
8,1372.5,1.30405,1.30951,1.53732,0.8703,0.94024,0.93523,0.5131,1.46877,0.72535,1.84982,0.009307,0.009307,0.009307
9,1532.67,1.27918,1.27855,1.51845,0.906,0.94236,0.94045,0.51738,1.51654,0.63668,1.86078,0.009208,0.009208,0.009208
10,1692.68,1.27096,1.25511,1.5088,0.91648,0.9602,0.95608,0.51256,1.57966,0.67541,1.89229,0.009109,0.009109,0.009109
11,1852.78,1.25635,1.22085,1.50022,0.91596,0.95028,0.95503,0.51896,1.5611,0.61898,1.88539,0.00901,0.00901,0.00901
12,2012.76,1.24979,1.21156,1.49914,0.90184,0.95045,0.94493,0.52167,1.48508,0.6859,1.85088,0.008911,0.008911,0.008911
13,2172.81,1.22316,1.16612,1.47544,0.92888,0.95407,0.94883,0.51229,1.55017,0.63031,1.87032,0.008812,0.008812,0.008812
14,2332.71,1.2238,1.15839,1.47791,0.93896,0.9542,0.95178,0.52188,1.56811,0.58734,1.90216,0.008713,0.008713,0.008713
15,2492.73,1.21056,1.13778,1.46457,0.93381,0.95811,0.95804,0.5279,1.5543,0.64096,1.85619,0.008614,0.008614,0.008614
16,2652.69,1.20226,1.14854,1.46336,0.90389,0.96001,0.94284,0.52306,1.50476,0.66854,1.87266,0.008515,0.008515,0.008515
17,2821.69,1.18615,1.12629,1.4505,0.91235,0.94437,0.94499,0.54303,1.43853,0.63228,1.8191,0.008416,0.008416,0.008416
18,2995.24,1.19037,1.12937,1.45714,0.9134,0.94892,0.93446,0.51521,1.50457,0.61145,1.84148,0.008317,0.008317,0.008317
