epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2427,1.53801,4.99588,1.84685,0.42744,0.23701,0.23035,0.1297,1.39419,5.40858,1.64471,0.000109238,0.000109238,0.000109238
2,36.0333,1.14926,3.34173,1.49212,0.30892,0.60625,0.46947,0.3009,1.34036,4.04936,1.60635,0.000218058,0.000218058,0.000218058
3,46.4222,1.06485,2.63903,1.37424,0.45419,0.61118,0.59239,0.47238,0.87133,2.44418,1.20334,0.00032468,0.00032468,0.00032468
4,56.8254,1.05312,2.24693,1.34929,0.48236,0.78332,0.69576,0.54505,0.90197,2.15971,1.19453,0.00032311,0.00032311,0.00032311
5,67.0021,1.03508,2.01878,1.33553,0.62109,0.7332,0.76442,0.55947,1.09387,1.6914,1.38221,0.000319813,0.000319813,0.000319813
6,77.1696,0.97277,1.82075,1.31326,0.68854,0.66599,0.77106,0.66916,0.61287,1.46199,1.02143,0.000316517,0.000316517,0.000316517
7,87.2736,0.96157,1.69105,1.27184,0.56959,0.75893,0.77036,0.65641,0.68409,1.35334,1.04537,0.00031322,0.00031322,0.00031322
8,97.3881,0.97049,1.61164,1.28131,0.72736,0.7091,0.77911,0.65567,0.71335,1.36062,1.06328,0.000309923,0.000309923,0.000309923
9,107.66,0.92213,1.5457,1.2574,0.72214,0.68684,0.7981,0.68833,0.67149,1.17893,1.0357,0.000306626,0.000306626,0.000306626
10,117.994,0.94313,1.47173,1.27637,0.84812,0.75354,0.85899,0.75348,0.6279,1.00161,1.00837,0.00030333,0.00030333,0.00030333
11,128.224,0.90584,1.34879,1.24238,0.79952,0.80067,0.8928,0.77779,0.6393,0.99872,1.01125,0.000300033,0.000300033,0.000300033
12,138.401,0.90742,1.32449,1.23046,0.71294,0.80129,0.86143,0.71698,0.69698,1.02916,1.08628,0.000296736,0.000296736,0.000296736
13,148.591,0.87099,1.27235,1.22545,0.78688,0.76701,0.88443,0.76655,0.63667,0.98549,1.02645,0.00029344,0.00029344,0.00029344
14,158.9,0.87079,1.28213,1.23657,0.84834,0.78083,0.90215,0.73754,0.83636,0.91307,1.1233,0.000290143,0.000290143,0.000290143
15,169.377,0.88742,1.23039,1.22651,0.78581,0.79179,0.86702,0.77234,0.57574,0.96795,0.9867,0.000286846,0.000286846,0.000286846
16,180.318,0.85683,1.16467,1.20898,0.86498,0.77851,0.90267,0.78427,0.62838,0.83673,1.01212,0.00028355,0.00028355,0.00028355
17,190.493,0.83204,1.09691,1.19323,0.75095,0.85872,0.89199,0.79273,0.56268,0.81264,0.98576,0.000280253,0.000280253,0.000280253
18,200.624,0.82074,1.02751,1.17399,0.85426,0.81937,0.90006,0.77877,0.65505,0.82584,1.02938,0.000276956,0.000276956,0.000276956
19,210.58,0.846,1.14269,1.19298,0.84518,0.84968,0.90739,0.78781,0.66911,0.76022,1.02234,0.000273659,0.000273659,0.000273659
20,220.568,0.80902,1.02518,1.18273,0.80926,0.90056,0.92062,0.82293,0.5653,0.76344,0.96961,0.000270363,0.000270363,0.000270363
21,230.515,0.78646,1.00352,1.16074,0.89183,0.85497,0.93551,0.82094,0.61624,0.7381,1.02396,0.000267066,0.000267066,0.000267066
22,240.676,0.80333,1.00603,1.17588,0.86351,0.79524,0.91352,0.80594,0.57742,0.80253,0.99065,0.000263769,0.000263769,0.000263769
23,250.611,0.84235,1.02981,1.20274,0.84166,0.8302,0.9172,0.78972,0.65053,0.73624,1.01659,0.000260473,0.000260473,0.000260473
24,260.608,0.79003,0.96492,1.16866,0.84584,0.82517,0.90214,0.79455,0.60058,0.72464,0.99514,0.000257176,0.000257176,0.000257176
25,270.543,0.81532,0.96926,1.17654,0.87318,0.87058,0.92942,0.76604,0.78812,0.70203,1.09586,0.000253879,0.000253879,0.000253879
26,280.67,0.79831,0.91677,1.16902,0.87507,0.85376,0.92854,0.83027,0.55248,0.63643,0.97512,0.000250583,0.000250583,0.000250583
27,290.685,0.78989,0.93366,1.16506,0.85159,0.87764,0.92777,0.82053,0.56782,0.63639,0.97361,0.000247286,0.000247286,0.000247286
28,300.724,0.79862,0.97755,1.16403,0.88733,0.8461,0.93204,0.80231,0.6441,0.62055,1.03575,0.000243989,0.000243989,0.000243989
29,310.651,0.79144,0.92187,1.16551,0.88429,0.85936,0.90448,0.77615,0.67481,0.65551,1.03382,0.000240692,0.000240692,0.000240692
30,320.563,0.78758,0.8863,1.15771,0.9067,0.86104,0.93402,0.83307,0.55978,0.66111,0.97937,0.000237396,0.000237396,0.000237396
31,330.561,0.79149,0.91501,1.16918,0.87586,0.86467,0.93589,0.84966,0.49712,0.61779,0.95129,0.000234099,0.000234099,0.000234099
32,340.694,0.75287,0.84798,1.13313,0.86279,0.85134,0.92739,0.84785,0.46916,0.65083,0.94266,0.000230802,0.000230802,0.000230802
33,350.531,0.76293,0.84066,1.15173,0.87727,0.84793,0.92534,0.8403,0.50894,0.6525,0.95196,0.000227506,0.000227506,0.000227506
34,360.508,0.7347,0.81939,1.1213,0.91743,0.85075,0.93611,0.85187,0.50387,0.57253,0.94111,0.000224209,0.000224209,0.000224209
35,370.5,0.73282,0.81986,1.14135,0.86203,0.84426,0.91902,0.83393,0.50974,0.65441,0.93712,0.000220912,0.000220912,0.000220912
36,380.348,0.71034,0.78933,1.11368,0.88564,0.84113,0.91918,0.83129,0.54674,0.65294,0.96095,0.000217616,0.000217616,0.000217616
37,390.215,0.69153,0.80207,1.10324,0.85969,0.87349,0.94054,0.84266,0.56289,0.58563,0.9538,0.000214319,0.000214319,0.000214319
38,400.109,0.7162,0.8116,1.12311,0.89715,0.85541,0.93733,0.8405,0.5573,0.59717,0.96796,0.000211022,0.000211022,0.000211022
39,410.176,0.71632,0.80821,1.1177,0.87041,0.88495,0.9422,0.84705,0.55114,0.58732,0.97486,0.000207725,0.000207725,0.000207725
40,420.206,0.7032,0.76046,1.10907,0.89216,0.88022,0.941,0.84516,0.52831,0.60529,0.96525,0.000204429,0.000204429,0.000204429
41,430.218,0.66984,0.72852,1.09485,0.92305,0.89528,0.94174,0.84547,0.53864,0.54374,0.9624,0.000201132,0.000201132,0.000201132
42,440.206,0.72289,0.79187,1.12446,0.87883,0.88129,0.94583,0.85485,0.50937,0.51815,0.93521,0.000197835,0.000197835,0.000197835
43,450.359,0.69034,0.74378,1.10374,0.86428,0.86162,0.94243,0.85732,0.5144,0.61241,0.94382,0.000194539,0.000194539,0.000194539
44,460.312,0.71468,0.75177,1.1232,0.91815,0.89058,0.94381,0.84457,0.52878,0.52027,0.93755,0.000191242,0.000191242,0.000191242
45,470.43,0.6961,0.72964,1.09304,0.92149,0.86777,0.93478,0.82222,0.59545,0.58683,0.97033,0.000187945,0.000187945,0.000187945
46,480.565,0.72776,0.75394,1.10804,0.88465,0.85872,0.94499,0.84926,0.52431,0.61737,0.94784,0.000184649,0.000184649,0.000184649
