epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5653,1.44522,4.15015,1.84011,0.57525,0.20959,0.2117,0.13553,1.28374,3.16971,1.6177,0.000109238,0.000109238,0.000109238
2,24.5084,1.14424,2.98148,1.47904,0.29244,0.54107,0.39737,0.28839,1.05606,2.83814,1.46511,0.000218058,0.000218058,0.000218058
3,36.46,1.11298,2.53045,1.46583,0.39153,0.70231,0.49647,0.36909,1.02057,2.0788,1.41091,0.00032468,0.00032468,0.00032468
4,48.2547,1.09211,2.31687,1.45816,0.60317,0.57264,0.57619,0.3987,1.17085,2.49218,1.57742,0.00032311,0.00032311,0.00032311
5,59.8752,1.06608,2.06646,1.40943,0.68097,0.5508,0.71844,0.55507,0.9403,1.63156,1.2884,0.000319813,0.000319813,0.000319813
6,71.6359,1.05501,1.97443,1.41413,0.5454,0.65545,0.69894,0.53473,0.97236,1.64415,1.30843,0.000316517,0.000316517,0.000316517
7,83.3126,1.02263,1.81366,1.3487,0.69653,0.66531,0.8021,0.62644,0.93032,1.39926,1.268,0.00031322,0.00031322,0.00031322
8,95.233,1.01332,1.77572,1.35871,0.68522,0.80162,0.86089,0.68466,0.86325,1.10547,1.21978,0.000309923,0.000309923,0.000309923
9,106.773,0.98345,1.62445,1.33177,0.73979,0.74572,0.85564,0.72465,0.7299,1.00567,1.11922,0.000306626,0.000306626,0.000306626
10,118.486,0.97676,1.54841,1.32988,0.66757,0.8174,0.84849,0.658,0.95196,1.03787,1.27066,0.00030333,0.00030333,0.00030333
11,130.185,0.96476,1.50369,1.30978,0.72761,0.84203,0.89181,0.65297,1.14821,0.96269,1.42914,0.000300033,0.000300033,0.000300033
12,141.763,0.94551,1.45468,1.29619,0.6953,0.83255,0.85966,0.71474,0.80564,0.93842,1.15691,0.000296736,0.000296736,0.000296736
13,153.324,0.92306,1.39374,1.27511,0.65348,0.81823,0.85126,0.72765,0.7277,1.14454,1.11654,0.00029344,0.00029344,0.00029344
14,165.157,0.90651,1.32476,1.25308,0.77967,0.78535,0.89352,0.66984,1.08757,0.9622,1.40226,0.000290143,0.000290143,0.000290143
15,176.666,0.88821,1.26662,1.25023,0.71828,0.85228,0.87949,0.73366,0.7612,0.81752,1.13277,0.000286846,0.000286846,0.000286846
16,188.476,0.90298,1.24597,1.27614,0.8178,0.82569,0.91374,0.79595,0.63835,0.77616,1.06446,0.00028355,0.00028355,0.00028355
17,200.492,0.86566,1.22044,1.2368,0.76628,0.86913,0.90043,0.77666,0.66135,0.75037,1.06293,0.000280253,0.000280253,0.000280253
18,211.873,0.88468,1.20406,1.23662,0.81646,0.82274,0.91961,0.78846,0.66943,0.7296,1.07093,0.000276956,0.000276956,0.000276956
19,223.409,0.87795,1.14061,1.23721,0.78209,0.86512,0.92232,0.8032,0.60273,0.73604,1.02879,0.000273659,0.000273659,0.000273659
20,235.22,0.8652,1.108,1.23291,0.78731,0.84279,0.91343,0.79542,0.633,0.74409,1.05346,0.000270363,0.000270363,0.000270363
21,246.751,0.85253,1.1444,1.23541,0.86971,0.86856,0.94452,0.80658,0.67162,0.69113,1.06611,0.000267066,0.000267066,0.000267066
22,258.67,0.86716,1.11071,1.22998,0.82127,0.85589,0.92676,0.81736,0.58609,0.67961,1.02913,0.000263769,0.000263769,0.000263769
23,270.467,0.86816,1.12398,1.25946,0.84231,0.85084,0.92943,0.80483,0.63017,0.64625,1.07835,0.000260473,0.000260473,0.000260473
24,282.02,0.86158,1.05621,1.2168,0.80656,0.85561,0.91519,0.78439,0.67835,0.77288,1.10261,0.000257176,0.000257176,0.000257176
25,293.461,0.84198,1.07261,1.21434,0.86294,0.85969,0.93876,0.80021,0.71151,0.65102,1.08552,0.000253879,0.000253879,0.000253879
26,304.838,0.84137,1.09578,1.22267,0.88863,0.82421,0.94738,0.84378,0.57944,0.63761,1.02508,0.000250583,0.000250583,0.000250583
27,316.582,0.79716,1.00918,1.20175,0.83598,0.84575,0.92279,0.82596,0.54925,0.67381,1.0196,0.000247286,0.000247286,0.000247286
28,328.362,0.82034,1.02893,1.19669,0.85473,0.86773,0.94261,0.805,0.71688,0.61465,1.12322,0.000243989,0.000243989,0.000243989
29,339.863,0.81901,0.97595,1.18961,0.88054,0.85515,0.93441,0.84449,0.54907,0.62327,1.01108,0.000240692,0.000240692,0.000240692
30,351.542,0.77867,0.93436,1.1738,0.84864,0.88173,0.934,0.81095,0.67032,0.69204,1.07177,0.000237396,0.000237396,0.000237396
31,364.045,0.80947,0.99335,1.20049,0.86481,0.86625,0.9495,0.77798,0.83481,0.59317,1.14772,0.000234099,0.000234099,0.000234099
32,375.588,0.79004,0.97191,1.18679,0.90594,0.86495,0.95127,0.82461,0.63824,0.51605,1.04812,0.000230802,0.000230802,0.000230802
33,388.401,0.80209,0.96491,1.20856,0.85142,0.90498,0.94003,0.83378,0.58556,0.57351,1.0142,0.000227506,0.000227506,0.000227506
34,400.722,0.76374,0.89162,1.16518,0.88497,0.89263,0.94842,0.83818,0.58165,0.50898,1.01432,0.000224209,0.000224209,0.000224209
35,412.513,0.77208,0.85974,1.1663,0.89753,0.84981,0.9471,0.84077,0.58619,0.52882,1.00921,0.000220912,0.000220912,0.000220912
36,424.311,0.75088,0.8238,1.15041,0.85127,0.90485,0.96015,0.82801,0.65868,0.56624,1.07041,0.000217616,0.000217616,0.000217616
